"Z" "X" "Y" "Switzerland" "Basis-1" "Basis-2" "Basis-3" "Basis-4" "Basis-5" "Basis-6" "Basis-7" "Basis-8" "Basis-9" "Basis-10" "Basis-11" "Basis-12" "Basis-13" "Basis-14" "Basis-15" "Basis-16" "Basis-17" "Basis-18" "Basis-19" "Basis-20"
438.52176 536661 294684 0 0.41887959426281 0.152436340865705 0.222553029186022 0.157742043241277 -0.68560704007457 0.712710071012421 0.176963148962139 -1.10555611386839 0.04722436291503 -0.96867637021786 -0.296070759471344 1.22984587108203 -0.488136957268238 1.84137421300691 1.51360145536187 0.0400362292912593 -0.410571009762615 1.05195561856866 1.24428745403159 -0.800024641273801
434.94165 539161 294684 0 0.492807082924338 0.381306410442257 0.362134939071256 0.167607232578636 -0.544849954909281 0.741436686634816 0.13817535533505 -0.967195757343391 0.0423466070712549 -0.899517662209754 -0.307393478304749 1.15367419540079 -0.532073162618717 1.9148148234735 1.44078855661457 0.103185805310081 -0.510396794172748 1.09439945497978 0.928567085245017 -0.952617004147176
520.40588 541661 294684 0 0.511285731405496 0.571088958927983 0.475020501814027 0.186223068250716 -0.389992594202166 0.770341555114276 0.106057488442462 -0.797594116817076 0.0632926672170518 -0.767706914564642 -0.284402013937172 1.03889031915892 -0.538311701338675 1.94244290978582 1.35500409826838 0.172938407328724 -0.601870301773322 1.10234019680301 0.597731637193041 -1.09430560670304
585.15002 544161 294684 0 0.472947177507025 0.715858259852725 0.562702934957423 0.213508529188503 -0.22934949389371 0.795544980563313 0.0862221623442739 -0.606765732798036 0.117055017871767 -0.573316458792818 -0.222339269192588 0.888895998031768 -0.5139845252062 1.92484574904971 1.26293642631969 0.246748501244421 -0.679646969030528 1.07273703298329 0.26676798770523 -1.21974830146823
729.39862 546661 294684 0 0.380855984010644 0.812922262922581 0.627997522957291 0.248877982092658 -0.0725824176699426 0.813251783965668 0.0828447024998576 -0.406853495071076 0.2069734428971 -0.321335889313671 -0.119459789163151 0.710093838191874 -0.466799509287858 1.86519850931235 1.1696815166355 0.322217001166065 -0.73953883368769 1.00579740284525 -0.049010724775536 -1.32594304018729
925.56299 549161 294684 0 0.242511059634575 0.862728716024818 0.674724178403819 0.291125112984614 0.0702891149854321 0.819761373133459 0.0983557358762229 -0.210435582804472 0.332049501432078 -0.021892165028225 0.0224499687543711 0.511441659702351 -0.404010107794334 1.7685439577026 1.07834614172977 0.397166540771744 -0.779096820401019 0.905404679661925 -0.334919308433997 -1.41231532549433
925.56299 551661 294684 0 0.0694542822219825 0.868533265638642 0.707348761360246 0.338317871864659 0.189910682181307 0.811435338566122 0.133336937046909 -0.0287453226165239 0.486846836502125 0.310157217839405 0.197999844253885 0.303557889292661 -0.331573068321356 1.64094785729212 0.989933898828033 0.469696916348469 -0.798027824731093 0.779101982188356 -0.577857707651174 -1.48027527533262
940.27161 554161 294684 0 -0.123488352800162 0.835894316077457 0.730598808461412 0.387751916543133 0.278524165729976 0.784773937273407 0.18661924798784 0.129894989519326 0.662030393132844 0.656288018529541 0.398596652334451 0.097514916475011 -0.253613603901215 1.48865827933773 0.903514121631786 0.538176800049434 -0.798373873784366 0.637577529730165 -0.767200740991028 -1.53235173662676
990.29498 556661 294684 0 -0.319272524912697 0.772068497727625 0.749069977135467 0.436005794047567 0.330698842998913 0.736716198778823 0.25555967578131 0.261164563898202 0.845489191601895 0.995948563103126 0.613261628220928 -0.0964680716325589 -0.172273676538264 1.31738873844394 0.816638246022167 0.60114350475443 -0.784410172347146 0.493674594941797 -0.895548340561921 -1.57111150443764
698.56738 559161 294684 0 -0.499918210861218 0.685378929115315 0.766842913035599 0.479126304965317 0.343784529966892 0.665194993677555 0.336453292049354 0.365183312514214 1.02388273227432 1.30858654555718 0.82974000473613 -0.270189580307826 -0.0879611206109064 1.1318197808358 0.725938446869049 0.657109781994613 -0.76225599425681 0.361029085229516 -0.959268991570624 -1.5981246281666
522.83881 561661 294684 0 -0.647898067094993 0.584617590989434 0.787135451657843 0.512949361220914 0.318048933264243 0.569872777072469 0.425023543429185 0.446240144744372 1.18437125709247 1.57579460783298 1.03573284138637 -0.418264411683073 4.65289689351034e-05 0.935375500974099 0.627823124250063 0.704308162159288 -0.739231745881462 0.252505936425352 -0.958780680361434 -1.61322885798889
625.78162 564161 294684 0 -0.747510268291757 0.478525815376938 0.812020181727585 0.533534131345889 0.256504731746819 0.45288789343991 0.516927866778921 0.511874105063573 1.31625171312861 1.78326816730427 1.22006780494573 -0.538402173413081 0.0927494402484009 0.730286303634498 0.519175493185705 0.740430669720228 -0.723031352243933 0.17864917301771 -0.898531875236906 -1.61427877349327
814.36005 566661 294684 0 -0.786115991554103 0.375376593611825 0.842240050761478 0.53766142637394 0.164472274563814 0.319385905651251 0.608217359616167 0.571479677917737 1.41223330849784 1.92228334537373 1.37364577618977 -0.631115765579474 0.190475645763178 0.517903858063018 0.397965792737963 0.762437062393121 -0.720806168882509 0.146370882949449 -0.786668789303106 -1.59745351181602
747.77521 569161 294684 0 -0.755134751985391 0.282662713296854 0.87715261321591 0.523326383409219 0.0489553690501899 0.177615866097449 0.695698366048306 0.634680029039873 1.46914804369263 1.99046902959083 1.49004903452807 -0.698927554727112 0.292008357349627 0.29919531297285 0.26370336684151 0.766502895721011 -0.738270996644745 0.158078247181826 -0.634402503125306 -1.55806727517103
514.35071 571661 294684 0 -0.650713943759386 0.206878781781986 0.914825172797023 0.490145075763571 -0.0820738899611561 0.0384420745635851 0.777158882891564 0.709737429822259 1.48799157318375 1.99175468930744 1.56576387226216 -0.745246569729545 0.393959746706832 0.075317097298894 0.11767939921505 0.748158519105042 -0.778942451811324 0.211378228181655 -0.455117894204349 -1.49170926756097
